"","state","marketSize","numPlans","ind","relVal"
"29","TX",190199122.930819,665839.560849545,16.92,11266005.3695743
"6","FL",239664263.322165,753904.529479882,12.68,9559509.4338049
"18","NC",103367455.529923,329473.432226144,10.82,3564902.53668688
"7","GA",83161622.8335866,250805.877145968,13.99,3508774.2212721
"9","IL",56112834.84726,186902.319853037,15.83,2958663.72327357
"23","OH",45804070.2479906,149180.409397166,18.38,2741935.92471991
"14","MI",84680197.2249072,261024.558258187,9.95,2597194.35466896
"25","PA",82581386.1386772,287137.527281269,8.6,2469382.73461891
"26","SC",34675318.9363731,113119.391271622,20.85,2358539.30801332
"31","VA",119003002.707802,201826.681936297,11.58,2337152.97682232
"15","MO",42803661.9373265,146337.621513356,14.1,2063360.46333831
"32","WI",45971673.3780983,136062.299692671,14.71,2001476.4284792
"28","TN",32780211.976247,140297.025094759,11.21,1572729.65131224
"10","IN",41521973.399846,126694.683556078,11.83,1498798.1064684
"4","AZ",28812094.9808456,99728.1957883833,15.02,1497917.50074152
"22","NJ",58646580.0091235,153132.579574281,6.84,1047426.84428808
"24","OK",16939372.877228,66145.5598615581,12.42,821527.853480551
"12","LA",22915446.5392051,72398.1228433003,10.76,779003.801793911
"16","MS",20283463.324257,52994.0883713498,13.12,695282.439432109
"21","NH",11284789.0822428,39506.2654150979,17.39,687013.955568552
"30","UT",18931403.9331006,77300.7281327821,8.5,657056.189128648
"20","NE",10949885.2005815,38048.1356199251,14.94,568439.146161681
"3","AR",13638434.5969778,42457.2727466257,10.47,444527.645657171
"17","MT",8580182.84438576,33062.5317509961,12.75,421547.279825201
"8","IA",7200231.73231394,26978.8227678733,14.47,390383.565451127
"11","KS",13134345.5567047,53087.1208335162,6.63,351967.611126212
"33","WV",5421133.12892092,19546.9303614726,16.69,326238.267732977
"5","DE",3901825.04117437,12678.2695028566,23.43,297051.85445193
"13","ME",14885335.2101989,43964.9527313819,6.43,282694.646062785
"2","AL",22276200.1537825,88518.3168353497,3.13,277062.331694644
"1","AK",5092467.72269429,11933.372115484,16.29,194394.631761235
"27","SD",4203186.07209727,11630.5634666348,13.66,158873.496954231
"34","WY",4712067.29856102,11075.0287029441,12.73,140985.115388478
"19","ND",2878477.51219211,9656.33258823351,4.49,43356.9333211684
